;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
103;0x;a;1b;0;0;0;a;26;33;33;0;a;50;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;59;24;0;0;fd;3;0;34;0;95;37;41;64
104;0x;a;1a;0;0;0;a;48;2a;33;0;51;47;32;0;3c;f6;ff;ff;20;f9;ff;ff;e7;10;0;0;59;24;0;0;fd;3;0;34;0;92;37;41;64
105;0x;a;19;0;0;0;a;2;34;33;0;e2;50;32;0;3c;f6;ff;ff;20;f9;ff;ff;a9;10;0;0;50;24;0;0;fd;3;0;34;0;8f;37;41;64
106;0x;a;18;0;0;0;a;a3;32;33;0;89;4f;32;0;3c;f6;ff;ff;20;f9;ff;ff;7;11;0;0;50;24;0;0;fd;3;0;34;0;8c;37;41;64
107;0x;a;17;0;0;0;a;b0;2b;33;0;b3;48;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;50;24;0;0;fe;3;0;34;0;89;37;41;64
108;0x;a;16;0;0;0;a;82;27;33;0;97;44;32;0;3c;f6;ff;ff;20;f9;ff;ff;e7;10;0;0;50;24;0;0;fe;3;0;34;0;86;37;41;64
109;0x;a;15;0;0;0;a;2;1b;33;0;4c;38;32;0;3c;f6;ff;ff;20;f9;ff;ff;e7;10;0;0;50;24;0;0;fe;3;0;34;0;83;37;41;64
110;0x;a;14;0;0;0;a;f1;25;33;0;43;d;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;50;24;0;0;fe;3;0;34;0;80;37;41;64
111;0x;a;13;0;0;0;a;f5;26;33;0;c;44;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;47;24;0;0;fe;3;0;34;0;7d;37;41;64
112;0x;a;12;0;0;0;a;14;18;33;0;6b;35;32;0;3c;f6;ff;ff;20;f9;ff;ff;e7;10;0;0;47;24;0;0;fd;3;0;34;0;7a;37;41;64
113;0x;a;11;0;0;0;a;8d;16;33;0;ea;33;32;0;3c;f6;ff;ff;20;f9;ff;ff;7;11;0;0;59;24;0;0;fd;3;0;34;0;77;37;41;64
114;0x;a;10;0;0;0;a;8e;7;33;0;2b;25;32;0;3c;f6;ff;ff;20;f9;ff;ff;7;11;0;0;6b;24;0;0;fd;3;0;34;0;74;37;41;64
115;0x;a;f;0;0;0;a;79;16;33;0;d6;33;32;0;3c;f6;ff;ff;20;f9;ff;ff;e7;10;0;0;62;24;0;0;fe;3;0;34;0;71;37;41;64
116;0x;a;e;0;0;0;a;5d;19;33;0;ae;36;32;0;3c;f6;ff;ff;20;f9;ff;ff;e7;10;0;0;62;24;0;0;fd;3;0;34;0;6e;37;41;64
117;0x;a;0;d;0;0;a;1a;12;33;0;8a;2f;32;0;3c;f6;ff;ff;20;f9;ff;ff;26;11;0;0;6b;24;0;0;fd;3;0;34;0;6b;37;41;64
118;0x;a;c;0;0;0;a;8b;13;33;0;f4;30;32;0;3c;f6;ff;ff;20;f9;ff;ff;7;11;0;0;6b;24;0;0;fd;3;0;34;0;68;37;41;64
119;0x;a;b;0;0;0;a;f1;7;33;0;8c;25;32;0;3c;f6;ff;ff;20;f9;ff;ff;26;11;0;0;62;24;0;0;fe;3;0;34;0;65;37;41;64
120;0x;a;a;0;0;0;a;a7;b;33;0;32;29;32;0;3c;f6;ff;ff;20;f9;ff;ff;7;11;0;0;62;24;0;0;ff;3;0;34;0;62;37;41;64
121;0x;a;9;0;0;0;a;2e;8;33;0;c8;25;32;0;3c;f6;ff;ff;20;f9;ff;ff;7;11;0;0;59;24;0;0;fd;3;0;34;0;5f;37;41;64
122;0x;a;8;0;0;0;a;20;2;33;0;d3;1f;32;0;3c;f6;ff;ff;20;f9;ff;ff;7;11;0;0;50;24;0;0;fd;3;0;34;0;5c;37;41;64
123;0x;a;7;0;0;0;a;24;8;33;0;be;25;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;47;24;0;0;fd;3;0;34;0;59;37;41;64
124;0x;a;6;0;0;0;a;b0;fe;32;0;72;1c;32;0;3c;f6;ff;ff;20;f9;ff;ff;7;11;0;0;47;24;0;0;fe;3;0;34;0;53;37;41;64
125;0x;a;5;0;0;0;a;35;fb;32;0;6;19;32;0;3c;f6;ff;ff;20;f9;ff;ff;7;11;0;0;47;24;0;0;fe;3;0;34;0;50;37;41;64
126;0x;a;4;0;0;0;a;41;f9;32;0;1a;17;32;0;3c;f6;ff;ff;20;f9;ff;ff;e7;10;0;0;50;24;0;0;fe;3;0;34;0;4d;37;41;64
127;0x;a;3;0;0;0;a;c8;ff;32;0;85;1d;32;0;3c;f6;ff;ff;20;f9;ff;ff;26;11;0;0;50;24;0;0;fd;3;0;34;0;4a;37;41;64
128;0x;a;2;0;0;0;a;3;fb;32;0;d5;18;32;0;3c;f6;ff;ff;20;f9;ff;ff;c8;10;0;0;59;24;0;0;fe;3;0;34;0;47;37;41;64
